query,tool_call
Ana Valdivia just reported Colibrí's airlock equalization rate is holding at 1.1 kPa per minute — what emergency procedure covers this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported Colibrí's airlock equalization rate is holding at 1.3 kPa per minute — what emergency procedure covers this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported a pressure differential of 7.7 kPa at Vicuña's docking port during active docking—what emergency steps should we take?,"activate_protocol(protocol_id='MASA-SEC-013',scope='module_only')"
Ana Valdivia just reported comms sensor glitches in Colibrí — schedule urgent repair to avoid signal loss.,"schedule_maintenance(module='colibri',task='sensor_repair',priority='urgent')"
Ana Valdivia just reported feeling lightheaded in Colibrí—can we get her current health status?,"get_crew_status(module='colibri',info='health')"
"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 1.9%—should we log an alert for this?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 1.9%—what emergency procedure should we initiate for this?","activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 2.5%—should we log an alert for this?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 2.6%—should we log this as an alert?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 2.7%—should we log this as an alert?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 2.7%—what emergency procedure should we initiate for this?","activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 3.0%—should we log an alert for this?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Quetzal, CO2 concentration climbing to 2.6%—should we log an alert for this?","send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Quetzal, CO2 concentration climbing to 2.6%—what emergency procedure should we initiate for this?","activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
"Ana Valdivia just reported headaches from Quetzal, CO2 concentration climbing to 2.8%—should we log an alert for this?","send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Quetzal, CO2 concentration climbing to 2.9%—should we log an alert for this?","send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from Quetzal, CO2 concentration climbing to 3.0%—should we log an alert for this?","send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported headaches from the crew in Colibrí—CO2 concentration is at 2.6% and still rising. Should we flag this and notify Commander Reyes immediately?,"send_alert(module='colibri',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches from the crew in Vicuña, and the CO2 sensors there are reading 2.3% and still climbing. What emergency steps do we need to take for this?","send_alert(module='vicuna',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches, and CO2 concentration in Quetzal is now at 2.0% and climbing—should we escalate this?","send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
"Ana Valdivia just reported headaches, and CO2 sensors in Colibrí are now reading 2.4%—should we escalate this?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is down to 12.4% — do we escalate this immediately?,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is down to 14.3% and still dropping—should we flag this for emergency response?,"send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is down to 15.2% and still dropping—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Ana Valdivia just reported oxygen concentration in Colibrí is down to 15.5% and still dropping—should we escalate this to command?,"send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is down to 15.7% and still dropping—should we escalate this to command?,"send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is down to 15.7% and still dropping—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Ana Valdivia just reported oxygen concentration in Colibrí is down to 15.8% and still dropping—what emergency steps should we take for this?,"send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is now at 14.6% and dropping—what emergency procedure should we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Ana Valdivia just reported oxygen concentration in Colibrí is reading 10.9% on her console—how should we handle this?,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is reading 10.9% on her console—what emergency procedure should we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Ana Valdivia just reported oxygen concentration in Colibrí is reading 11.0% and still dropping—what emergency steps should we initiate for this situation?,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is reading 12.6% on her console—how should we handle this?,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is reading 13.3% on her console—how should we handle this?,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Colibrí is reading 13.3% on her console—what emergency procedure should we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Ana Valdivia just reported oxygen concentration in Jaguar has dropped to 14.3% over the last 30 minutes — should we escalate this to command?,"send_alert(module='jaguar',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 10.2% — do we escalate this immediately?,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 13.3% — what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.0% and still dropping. What emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.0% and still dropping—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.2% and still dropping—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.2% — do we need to escalate this?,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.5% and still dropping—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.5% and still dropping—what emergency steps should we take for this?,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is now 14.8% and still dropping—what emergency steps should we initiate for this situation?,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is now at 14.0% and still dropping—what emergency steps should we take for this?,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is reading 10.2% on her console—how should we handle this situation?,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is reading 10.2% on her console—what emergency procedure should we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Ana Valdivia just reported oxygen concentration in Quetzal is reading 13.3% on her console—how should we handle this?,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Quetzal is reading 13.6% on her console—how should we handle this?,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Vicuña dropping to 14.4%—should we escalate this to command?,"send_alert(module='vicuna',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported oxygen concentration in Vicuña dropping to 14.9%—should we escalate this to command?,"send_alert(module='vicuna',severity='high',reason='oxygen_leak')"
Ana Valdivia just reported pressure in Colibrí dropping to 88.7 kPa — should we escalate this to command?,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Ana Valdivia just reported radiation sensors in Colibrí are reading 1.2 mSv/hr and climbing. What emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Ana Valdivia just reported radiation sensors in Colibrí are reading 1.7 mSv/hr and climbing. What emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Ana Valdivia just reported radiation sensors in Colibrí are reading 8.7 mSv/hr — what emergency procedure should we initiate for this?,"send_alert(module='colibri',severity='critical',reason='radiation_spike')"
Ana Valdivia just reported radiation sensors in Quetzal are reading 3.7 mSv/hr and climbing. What emergency procedure should we initiate for this?,"send_alert(module='quetzal',severity='high',reason='radiation_spike')"
Ana Valdivia just reported the Jaguar airlock equalization rate is climbing at 1.2 kPa per minute—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported the Quetzal airlock equalization rate is at 0.9 kPa per minute and still rising — what emergency procedure do we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported the Quetzal airlock equalization rate is climbing at 1.3 kPa per minute — what emergency procedure do we initiate right now?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported the Quetzal airlock equalization rate is climbing at 1.4 kPa per minute — what emergency procedure do we initiate right now?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported the Quetzal airlock equalization rate is holding at 0.6 kPa per minute — what emergency procedure covers this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported the Quetzal airlock equalization rate is holding at 1.2 kPa per minute — what emergency procedure covers this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported the Quetzal airlock equalization rate is holding at 1.5 kPa per minute — what emergency procedure covers this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Ana Valdivia just reported the Vicuña airlock equalization rate is climbing to 0.7 kPa per minute—what emergency steps do we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
"Ana, could you send a message to Pilot Valdivia with the updated docking sequence for the next cargo resupply?","send_message(recipient='pilot',priority='low')"
"Ana, could you send a message to Pilot Valdivia with the updated docking sequence for the next supply run?","send_message(recipient='pilot',priority='low')"
"Ana, urgent message from Kuntur—command needs an immediate update on the Colibrí comms array anomaly before the next station pass.","send_message(recipient='pilot',priority='high')"
"Ana, urgent message from Kuntur—radiation shielding anomaly detected in Colibrí during the last pass. Commander wants your eyes on this immediately.","send_message(recipient='pilot',priority='high')"
"Ana, urgent message from Kuntur—radiation shielding anomaly detected in Colibrí during the last solar pass. Need immediate pilot assessment before the next crew rotation.","send_message(recipient='pilot',priority='urgent')"
"Ana, urgent message from Kuntur—we need an immediate assessment of the debris field approaching the station’s orbital path.","send_message(recipient='pilot',priority='urgent')"
"Ana, we've got an incoming supply vessel that needs docking guidance—coordinate with Cóndor for approach vectors and confirm alignment.","send_message(recipient='pilot',priority='medium')"
"Ana, we've got an unexpected course correction needed—please confirm you're ready to adjust trajectory before the next orbital pass.","send_message(recipient='pilot',priority='medium')"
"Ana, we've got an urgent course correction needed—prep for immediate maneuver and confirm readiness.","send_message(recipient='pilot',priority='high')"
"Ana, when you have a moment, could you confirm receipt of the updated cargo manifest for Vicuña? No rush, just need to make sure it's logged.","send_message(recipient='pilot',priority='low')"
"Are there any documented cases where a crew member refused a scheduled rotation, and how was it resolved?",no_action
"Are there any exceptions to the six-month rotation policy, particularly for long-duration experiments in the Colibrí module?",no_action
Are there any historical EVAs where the crew had to improvise tools or solutions due to unexpected issues?,no_action
Are there any historical cases where a crew rotation was delayed due to political tensions between partner nations?,no_action
Biological contamination alarm just triggered in Quetzal—readings are showing contamination reported. What emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-019',scope='module_only')"
Boost Colibrí's cooling — Valdivia reports temperatures climbing above nominal and still rising.,"control_system(module='colibri',system='cooling',action='increase')"
Boost cooling in Quetzal — Nakamura reports the lab temperature is creeping up and needs immediate adjustment.,"control_system(module='quetzal',system='cooling',action='increase')"
Boost filtration in Colibrí—signal integrity is degrading.,"control_system(module='colibri',system='filtration',action='increase')"
Boost filtration in Cóndor—readings are below nominal.,"control_system(module='condor',system='filtration',action='increase')"
Bump up the airflow in Quetzal—Nakamura just flagged that vent rates are low during the current experiment run.,"control_system(module='quetzal',system='ventilation',action='increase')"
Bump up the cooling in Tucán—Mendoza just reported temperatures climbing out of nominal range.,"control_system(module='tucan',system='cooling',action='increase')"
Bump up the heating in Cóndor—Commander Reyes just reported the temperature is dropping below nominal.,"control_system(module='condor',system='heating',action='increase')"
Bump up the heating in Jaguar—Kozlov reports temps are trending low.,"control_system(module='jaguar',system='heating',action='increase')"
Bump up the heating in Quetzal—Nakamura reports the temperature is trending below nominal for the experiments.,"control_system(module='quetzal',system='heating',action='increase')"
Bump up the heating in Tucán—Mendoza just reported the temperature is dropping below normal.,"control_system(module='tucan',system='heating',action='increase')"
Can someone confirm the standard evacuation procedure for Quetzal in case of a sudden depressurization event?,no_action
Can someone confirm what the standard operating capacity is for Colibrí's main antenna array during a solar flare event?,no_action
Can someone give me a quick overview of Kuntur Station's current mission and module layout before the next shift change?,no_action
Can someone give me a quick overview of MASA's agency history and main objectives?,no_action
Can someone give me a quick overview of the current scientific research program running in the Quetzal module?,no_action
Can someone give me a quick overview of the mission history for Kuntur Station?,no_action
Can someone pass along a reminder to all crew about the upcoming safety drill scheduled for 1500 hours?,"send_message(recipient='all_crew',priority='low')"
Can someone pull the latest training module on emergency containment procedures from the MASA-SEC database before the next crew drill?,no_action
Can someone pull up the full background profile for Commander Reyes before the next crew briefing?,no_action
Can we check the current food inventory levels and submit a routine resupply request for the station?,"request_supply(category='food',urgency='routine')"
Can we confirm the current crew schedule and activities in Vicuña for the next shift?,"get_crew_status(module='vicuna',info='schedule')"
Can we confirm the current schedule for the crew in Cóndor? I need to verify Commander Reyes' availability for the upcoming comms window.,"get_crew_status(module='condor',info='schedule')"
Can we expedite a food resupply to Kuntur Station? The crew’s rations are running lower than expected.,"request_supply(category='food',urgency='expedited')"
Can we expedite a fuel resupply to Kuntur Station? The current reserves are lower than expected for the upcoming maneuver schedule.,"request_supply(category='fuel',urgency='expedited')"
Can we expedite a medical supply request for Kuntur Station? Lucía Mendoza just reported we're running low on critical items in Vicuña.,"request_supply(category='medical',urgency='expedited')"
Can we expedite a resupply of scientific materials to Quetzal? Nakamura just reported they're running low on critical lab consumables.,"request_supply(category='scientific',urgency='expedited')"
Can we expedite a spare parts request for the life support system in Jaguar? Kozlov says the CO2 scrubbers are showing signs of failure.,"request_supply(category='spare_parts',urgency='expedited')"
Can we get a fuel resupply request logged for routine restocking before the next cargo window?,"request_supply(category='fuel',urgency='routine')"
Can we get a quick health status update for the crew currently working in the Quetzal module?,"get_crew_status(module='quetzal',info='health')"
Can we get a quick health status update for the crew in Quetzal after that last experiment?,"get_crew_status(module='quetzal',info='health')"
Can we get a quick health status update for the crew in Vicuña? Kozlov mentioned feeling lightheaded during the last inventory check.,"get_crew_status(module='vicuna',info='health')"
Can we get a quick health status update for the crew member currently assigned to Colibrí?,"get_crew_status(module='colibri',info='health')"
Can we get a quick health status update for the engineer currently working in the Jaguar module?,"get_crew_status(module='jaguar',info='health')"
Can we get a quick reminder to all crew about the upcoming maintenance checks scheduled for this evening?,"send_message(recipient='all_crew',priority='low')"
Can we get a quick update on what Engineer Kozlov is currently working on in the Jaguar module?,"get_crew_status(module='jaguar',info='current_activity')"
Can we get a quick update on what the crew is currently doing in Vicuña?,"get_crew_status(module='vicuna',info='current_activity')"
Can we get a routine resupply of scientific materials scheduled for Quetzal before the next crew rotation?,"request_supply(category='scientific',urgency='routine')"
Can we get a routine resupply of spare parts scheduled for the next cargo run? Kozlov mentioned we're running low on critical components in Vicuña.,"request_supply(category='spare_parts',urgency='routine')"
Can we get a structural integrity update for Colibrí before Valdivia’s next comms check?,"get_module_status(module='colibri',system='structural')"
Can we get a structural integrity update for Cóndor before the next shift change?,"get_module_status(module='condor',system='structural')"
Can we get a structural integrity update for Quetzal after that last experiment cycle?,"get_module_status(module='quetzal',system='structural')"
Can we get a structural integrity update for Tucán? Lucía mentioned some unusual vibrations during her last check.,"get_module_status(module='tucan',system='structural')"
Can we get a trajectory calculation for the planned debris avoidance maneuver at our current altitude?,"calculate_trajectory(maneuver='debris_avoidance',urgency='planned')"
Can we get a trajectory calculation for the planned debris avoidance maneuver before the next shift?,"calculate_trajectory(maneuver='debris_avoidance',urgency='planned')"
Can we get an urgent system calibration scheduled for Tucán before the next shift?,"schedule_maintenance(module='tucan',task='system_calibration',priority='urgent')"
Can we get the commander's attention for a mid-priority update before the next shift change?,"send_message(recipient='commander',priority='medium')"
Can we get the current crew schedule for Tucán? Lucía Mendoza just asked for a quick update.,"get_crew_status(module='tucan',info='schedule')"
Can we get the current crew schedule for activities happening in the Jaguar module?,"get_crew_status(module='jaguar',info='schedule')"
Can we get the current life support status in Quetzal? Nakamura mentioned the readings seemed off during his last check.,"get_module_status(module='quetzal',system='life_support')"
Can we get the current power status for Cóndor module?,"get_module_status(module='condor',system='power')"
Can we get the current power status for Jaguar? Kozlov mentioned fluctuations during his last check.,"get_module_status(module='jaguar',system='power')"
Can we get the current power status for Quetzal before the next experiment cycle?,"get_module_status(module='quetzal',system='power')"
Can we get the current power status for Tucán? Lucía mentioned something about fluctuations during her last check.,"get_module_status(module='tucan',system='power')"
Can we get the current power status for Vicuña? I need to check the systems before the next shift.,"get_module_status(module='vicuna',system='power')"
Can we get the current status of the communications system in Cóndor module?,"get_module_status(module='condor',system='communications')"
Can we get the current status of the communications system in Quetzal? Nakamura mentioned some irregularities during his last check.,"get_module_status(module='quetzal',system='communications')"
Can we get the current status of the communications system in Tucán? Lucía reported some issues during her last check.,"get_module_status(module='tucan',system='communications')"
Can we get the current status of the communications system in Vicuña before the next shift change?,"get_module_status(module='vicuna',system='communications')"
Can we get the current thermal status of Colibrí? Valdivia reported some fluctuations during her last check.,"get_module_status(module='colibri',system='thermal')"
Can we get the current thermal status of Jaguar? Kozlov mentioned the readings are fluctuating.,"get_module_status(module='jaguar',system='thermal')"
Can we get the current thermal status of Quetzal before the next experiment cycle?,"get_module_status(module='quetzal',system='thermal')"
Can we get the current thermal status of Vicuña? I need to check the temperature readings before the next cargo transfer.,"get_module_status(module='vicuna',system='thermal')"
Can we get the current thermal status of the Cóndor module? Commander Reyes just asked for an update.,"get_module_status(module='condor',system='thermal')"
Can we get the trajectory calculations for the planned docking maneuver at 408 km LEO?,"calculate_trajectory(maneuver='docking',urgency='planned')"
Can we get the trajectory calculations for the planned orbit adjustment at 408 km LEO?,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')"
Can we get the trajectory calculations for the planned orbit adjustment before the next shift?,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')"
Can we get the trajectory calculations for the planned reentry maneuver at 408 km LEO before the next shift?,"calculate_trajectory(maneuver='reentry',urgency='planned')"
Can we get the trajectory calculations for the planned reentry maneuver at 408 km LEO?,"calculate_trajectory(maneuver='reentry',urgency='planned')"
Can we pull Mendoza's current schedule and activities in Tucán for the next shift? Kozlov mentioned she had a medical check planned.,"get_crew_status(module='tucan',info='schedule')"
Can we schedule a routine filter replacement for Colibrí before the next communications window?,"schedule_maintenance(module='colibri',task='filter_replacement',priority='routine')"
Can we schedule a routine filter replacement in Cóndor during the next maintenance window?,"schedule_maintenance(module='condor',task='filter_replacement',priority='routine')"
Can we schedule a routine filter replacement in Quetzal before the next science shift?,"schedule_maintenance(module='quetzal',task='filter_replacement',priority='routine')"
Can we schedule a routine filter replacement in Tucán during the next maintenance window?,"schedule_maintenance(module='tucan',task='filter_replacement',priority='routine')"
Can we schedule a routine hull inspection for Vicuña during the next maintenance window?,"schedule_maintenance(module='vicuna',task='hull_inspection',priority='routine')"
Can we schedule a routine power cell swap in Tucán during the next maintenance window?,"schedule_maintenance(module='tucan',task='power_cell_swap',priority='routine')"
Can we schedule a routine repair for the sensor array in Colibrí? Valdivia noted degraded signal quality during the last comms check.,"schedule_maintenance(module='colibri',task='sensor_repair',priority='routine')"
Can we schedule a routine sensor repair in Cóndor during the next maintenance window?,"schedule_maintenance(module='condor',task='sensor_repair',priority='routine')"
Can we schedule a routine sensor repair in Vicuña during the next maintenance window?,"schedule_maintenance(module='vicuna',task='sensor_repair',priority='routine')"
Can we schedule a routine software update for Cóndor during the next maintenance window?,"schedule_maintenance(module='condor',task='software_update',priority='routine')"
Can we schedule a routine software update for Quetzal during the next maintenance window?,"schedule_maintenance(module='quetzal',task='software_update',priority='routine')"
Can we schedule a routine software update for Tucán during the next maintenance window?,"schedule_maintenance(module='tucan',task='software_update',priority='routine')"
Can we schedule a routine swap of the power cells in Jaguar during the next maintenance window?,"schedule_maintenance(module='jaguar',task='power_cell_swap',priority='routine')"
Can we schedule a routine system calibration for Cóndor before the next shift? Commander Reyes mentioned it during the last comms check.,"schedule_maintenance(module='condor',task='system_calibration',priority='routine')"
Can we schedule a routine system calibration for Jaguar during the next maintenance window? Kozlov mentioned it during his last report.,"schedule_maintenance(module='jaguar',task='system_calibration',priority='routine')"
