id,query,tool_call
Q-00040,"We’re seeing a voltage fluctuation on the Jaguar power bus, currently reading 97.1 V. Engineer Kozlov just flagged it—should we escalate this to command?","send_alert(module='jaguar',severity='medium',reason='power_fluctuation')"
Q-00041,Schedule routine maintenance for Vicuña module to swap out power cells.,"schedule_maintenance(module='vicuna',task='power_cell_swap',priority='routine')"
Q-00042,Cóndor's oxygen concentration has dropped to 15.1% over the past 30 minutes—should we escalate this to command for further action?,"send_alert(module='condor',severity='high',reason='oxygen_leak')"
Q-00043,Cóndor's power grid is showing 99.4% consumption—should we flag this as a critical system stress?,"send_alert(module='condor',severity='critical',reason='power_fluctuation')"
Q-00046,Jaguar hull stress sensors are reading 91.9%—Engineer Kozlov reports possible micrometeorite impact. Should we flag this for immediate review?,"send_alert(module='jaguar',severity='high',reason='structural_damage')"
Q-00048,We’ve got a voltage fluctuation on Quetzal’s power bus—sensors just hit 135.4 V and still fluctuating. Fatima flagged it from the science console. What emergency response do we need to initiate here?,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00049,Cóndor pressure sensors just dropped to 70.4 kPa—Reyes is reporting a possible hull breach. How should we handle this?,"send_alert(module='condor',severity='critical',reason='pressure_drop')"
Q-00050,I need to log an alert — oxygen sensors in Colibrí are showing 14.6% and dropping. What emergency steps should we initiate for this situation?,"send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Q-00051,Shut down the cooling system in Vicuña immediately—temperature readings are climbing and approaching critical levels.,"control_system(module='vicuna',system='cooling',action='deactivate')"
Q-00052,Radiation sensors in Colibrí are reading 5.7 mSv/hr—what emergency response should we initiate?,"send_alert(module='colibri',severity='critical',reason='radiation_spike')"
Q-00053,Oxygen concentration in Colibrí just dropped to 12.3%—what emergency response should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00055,Oxygen concentration in Colibrí just dropped to 12.6% — Kai Nakamura reports dizziness. What emergency procedure covers this?,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00056,Can you give me a quick overview of MASA's mission history and the main objectives for the current Cóndor-7 mission?,no_action
Q-00058,Tucán pressure sensors just hit 73.7 kPa and are still falling — what emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00059,Kai just reported radiation sensors in Quetzal are reading 4.0 mSv/hr and rising—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00060,Jaguar temperature sensors are showing a rapid rise at 3.4 degrees per minute and still climbing—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00061,Cóndor airlock equalization rate is at 0.8 kPa per minute and rising—what emergency steps do we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00064,Kai just reported Quetzal’s temp is climbing at 5.0 degrees per minute—should we escalate this to command?,"send_alert(module='quetzal',severity='critical',reason='abnormal_temperature')"
Q-00065,Radiation sensors in Jaguar are showing 1.1 mSv/hr and rising—what emergency response should we initiate?,"send_alert(module='jaguar',severity='medium',reason='radiation_spike')"
Q-00066,Pull the humidity readings from Jaguar for the last hour—Kozlov wants to check the trends.,"get_telemetry(module='jaguar',metric='humidity',timeframe_hours=1)"
Q-00067,We've just received a distress call from Quetzal — Commander Reyes reports the crew is out of food rations and needs an emergency resupply immediately.,"request_supply(category='food',urgency='emergency')"
Q-00068,Lower the heating level in Colibrí—Pilot Valdivia reports the temperature is rising above nominal.,"control_system(module='colibri',system='heating',action='decrease')"
Q-00069,Tucán oxygen concentration has dropped to 15.6% — what emergency procedure do we need to activate here?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00070,Kai just reported radiation sensors in Jaguar are showing 7.2 mSv/hr and still rising—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00071,"Can you pull up the training records for the current crew, specifically focusing on emergency response drills completed in the last six months?",no_action
Q-00072,We’ve got a rapid pressure drop in Jaguar—sensors just hit 71.2 kPa and still falling. Commander Reyes reports possible hull breach. What emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00073,Check the current health status for the crew member in Colibrí before the next shift change.,"get_crew_status(module='colibri',info='health')"
Q-00074,"We need an immediate reentry trajectory calculation—current altitude is 408 km, and we're preparing for descent.","calculate_trajectory(maneuver='reentry',urgency='immediate')"
Q-00076,Hull stress readings in Colibrí have hit 85.5% — Kai Nakamura just reported possible micrometeorite impact. What emergency steps should we initiate?,"send_alert(module='colibri',severity='high',reason='structural_damage')"
Q-00078,Oxygen concentration in Quetzal just dropped to 13.3% — Kai Nakamura reports dizziness. How should we handle this?,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-00079,We’ve got a rapid pressure drop in Jaguar—sensors just hit 82.8 kPa and still falling. Commander Reyes reports possible hull breach. What emergency procedure do we initiate here?,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00080,"Give me the current power status for Cóndor module, focusing on main and backup systems.","get_module_status(module='condor',system='power')"
Q-00081,Radiation sensors in Quetzal just spiked to 8.0 mSv/hr—what emergency steps do we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00082,Kai Nakamura just reported CO2 concentration in Vicuña has climbed to 2.3%—crew experiencing headaches. What emergency procedure should we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00083,"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 2.5%—should we log an alert for this?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Q-00084,Oxygen readings in Vicuña are at 15.7% and still dropping—what emergency response should we initiate?,"send_alert(module='vicuna',severity='high',reason='oxygen_leak')"
Q-00085,Check Jaguar's structural integrity status — Kozlov mentioned unusual stress readings during his last systems check.,"get_module_status(module='jaguar',system='structural')"
Q-00086,Cóndor module CO2 sensors are reading 2.6% and climbing—Commander Reyes reports crew headaches. What emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00087,Jaguar power grid showing 98.2% consumption and climbing rapidly—what emergency response should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-006',scope='station_wide')"
Q-00088,Jaguar power grid showing 97.3% consumption and climbing rapidly — Kai Nakamura just reported possible overload risk. What emergency procedure should we initiate?,"send_alert(module='jaguar',severity='critical',reason='power_fluctuation')"
Q-00089,We’re seeing a voltage fluctuation on the Colibrí power bus—current reading is 131.4 V. What emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00090,I need to log an alert — Vicuña temperature rate sensors are reading 4.2 degrees per minute and climbing.,"send_alert(module='vicuna',severity='critical',reason='abnormal_temperature')"
Q-00091,Oxygen concentration in Vicuña just dropped to 12.0% and still falling — should we flag this to Commander Reyes immediately?,"send_alert(module='vicuna',severity='critical',reason='oxygen_leak')"
Q-00092,Cóndor pressure sensors are showing 87.6 kPa and still dropping — how should we handle this?,"send_alert(module='condor',severity='high',reason='pressure_drop')"
Q-00093,Radiation sensors in Jaguar are showing 8.1 mSv/hr and still rising—what emergency measures should we initiate based on this reading? Engineer Kozlov flagged it during his system check.,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00095,Check the current schedule for the crew in Vicuña—need to coordinate cargo ops before the next shift.,"get_crew_status(module='vicuna',info='schedule')"
Q-00096,We’re getting reports from Lucía Mendoza that CO2 concentration in Colibrí has climbed to 2.6% and crew are experiencing headaches. What emergency procedure do we initiate here?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00097,Vicuña power bus voltage just hit 137.8 V—what emergency procedure covers this kind of fluctuation?,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00098,Cóndor airlock equalization rate is reading 0.7 kPa per minute—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00100,Tucán pressure sensors just hit 73.9 kPa and are still falling — what emergency procedure do we initiate?,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00101,We need an immediate trajectory recalculation—station's drifting out of nominal orbit at 408 km.,"calculate_trajectory(maneuver='orbit_adjustment',urgency='immediate')"
Q-00102,"Ana Valdivia just reported headaches from Colibrí, CO2 concentration climbing to 2.7%—should we log this as an alert?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Q-00104,"We need an immediate trajectory calculation for an orbit adjustment—station altitude is 408 km LEO, and this can't wait.","calculate_trajectory(maneuver='orbit_adjustment',urgency='immediate')"
Q-00106,We’ve got a pressure anomaly in Colibrí—readings are at 88.8 kPa and still declining. What emergency steps should we take for this situation?,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-00107,Can we schedule a routine sensor repair in Vicuña during the next maintenance window?,"schedule_maintenance(module='vicuna',task='sensor_repair',priority='routine')"
Q-00108,Water recycling in Vicuña has dropped to 27.9% and been degrading for hours — what’s the emergency procedure for this scenario?,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-00109,Ana Valdivia just reported radiation sensors in Colibrí are reading 1.7 mSv/hr and climbing. What emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00110,Lower the cooling settings in Colibrí—Pilot Valdivia just reported the comms array is running hotter than nominal.,"control_system(module='colibri',system='cooling',action='decrease')"
Q-00111,"Radiation sensors in Quetzal are reading 2.7 mSv/hr, and Fatima Al-Hassan just reported solar activity is picking up. Should I flag this with command?","send_alert(module='quetzal',severity='high',reason='radiation_spike')"
Q-00112,Water recycling in Vicuña has dropped to 32.6% and been degrading for hours — which emergency steps should we take?,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-00113,Water recycling in Vicuña has dropped to 35.8% and it's been degrading for hours—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-00114,Cóndor's power bus is showing voltage fluctuations with a reading of 99.5 V—what emergency steps should we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00115,"We’ve got a voltage fluctuation on Jaguar’s power bus, currently reading 102.1 V. What emergency procedure should we initiate for this?","send_alert(module='jaguar',severity='medium',reason='power_fluctuation')"
Q-00116,Pull the last 24 hours of oxygen telemetry from Cóndor for the shift log.,"get_telemetry(module='condor',metric='oxygen',timeframe_hours=24)"
Q-00118,Cóndor radiation sensors are showing 2.1 mSv/hr and climbing—Commander Reyes reports solar activity may be increasing. What emergency procedure should we initiate?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00119,We’ve got a rapid temperature rise in Quetzal—3.9 degrees per minute and climbing. Kai just reported it. What emergency steps do we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00120,Radiation sensors in Tucán are spiking at 10.1 mSv/hr—Commander Reyes reports it’s still climbing. What emergency procedure do we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00121,Activate the ventilation system in Quetzal—Nakamura just reported elevated CO₂ levels during the last experiment.,"control_system(module='quetzal',system='ventilation',action='activate')"
Q-00122,We’ve got a rapid temperature rise in Vicuña—sensors are showing 4.4 degrees per minute and climbing. What emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00123,"We’re seeing a voltage fluctuation on the Colibrí power bus, with readings dropping to 97.4 V. This is outside the normal range—should we flag this for further action?","send_alert(module='colibri',severity='medium',reason='power_fluctuation')"
Q-00124,Can you pull up the overview of MASA's operational structure and current mission objectives for the Cóndor-7 crew?,no_action
Q-00125,Tucán power bus showing voltage fluctuations—current reading at 103.7 V. Should we escalate this to command?,"send_alert(module='tucan',severity='medium',reason='power_fluctuation')"
Q-00126,We’re seeing a voltage fluctuation on Quetzal’s power bus—current reading is 96.1 V. Should we flag this for further review?,"send_alert(module='quetzal',severity='medium',reason='power_fluctuation')"
Q-00127,Radiation sensors in Colibrí are reading 9.5 mSv/hr—what emergency response should we initiate? Commander Reyes is monitoring the situation closely.,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00128,Pull the last six hours of oxygen level telemetry from Vicuña for trend analysis.,"get_telemetry(module='vicuna',metric='oxygen',timeframe_hours=6)"
Q-00129,Can we get the trajectory calculations for the planned station-keeping maneuver at 408 km LEO?,"calculate_trajectory(maneuver='station_keeping',urgency='planned')"
Q-00130,We need an immediate trajectory calculation for station-keeping—current altitude is 408 km and we're seeing drift.,"calculate_trajectory(maneuver='station_keeping',urgency='immediate')"
Q-00131,Jaguar’s CO₂ sensors are reading 2.3% and climbing—crew reports headaches. What’s the emergency procedure for this scenario?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00133,"Ana, urgent message from Kuntur—radiation shielding anomaly detected in Colibrí during the last pass. Commander wants your eyes on this immediately.","send_message(recipient='pilot',priority='high')"
Q-00134,Radiation sensors in Vicuña are reading 8.5 mSv/hr and climbing — what emergency procedure do we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00135,Can we expedite a fuel resupply to Kuntur Station? The current reserves are lower than expected for the upcoming maneuver schedule.,"request_supply(category='fuel',urgency='expedited')"
Q-00136,Can you pull the scientific research program objectives for the current mission so I can brief the new shift lead on the key experiments?,no_action
Q-00137,Oxygen concentration in Jaguar has dropped to 13.1%—what emergency procedure should we initiate? Engineer Kozlov just reported the crew is feeling lightheaded.,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00138,Radiation sensors in Jaguar are showing 11.3 mSv/hr and climbing—what emergency procedure do we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00139,Get the urgent software update for Cóndor on the schedule before the next crew shift change.,"schedule_maintenance(module='condor',task='software_update',priority='urgent')"
Q-00141,Cut all non-essential lighting in Colibrí—we need to conserve power while rerouting the auxiliary array.,"control_system(module='colibri',system='lighting',action='deactivate')"
Q-00142,Radiation sensors in Colibrí just spiked to 5.3 mSv/hr—Commander Reyes reports it’s still climbing. What emergency procedure do we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00143,Ana Valdivia just reported feeling lightheaded in Colibrí—can we get her current health status?,"get_crew_status(module='colibri',info='health')"
Q-00144,Vicuña power bus voltage just hit 97.6 V and continues to drop—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00145,Check the current thermal status in Cóndor—Commander Reyes noted the readings were off during his last report.,"get_module_status(module='condor',system='thermal')"
Q-00146,We’ve got a rising CO2 issue in Quetzal—readings just hit 2.8% and climbing. Commander Reyes reports the crew is experiencing headaches. What emergency steps do we need to initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00147,Notify Fatima immediately—her attention is required on an urgent matter.,"send_message(recipient='specialist_2',priority='high')"
Q-00148,Radiation sensors in Tucán are reading 5.4 mSv/hr and climbing—should we flag this to the Commander immediately?,"send_alert(module='tucan',severity='critical',reason='radiation_spike')"
Q-00150,Can we pull Mendoza's current schedule and activities in Tucán for the next shift? Kozlov mentioned she had a medical check planned.,"get_crew_status(module='tucan',info='schedule')"
Q-00151,Tucán airlock equalization rate is showing 1.4 kPa per minute and still increasing—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00152,Cóndor airlock equalization rate is at 1.0 kPa per minute—what emergency response should we initiate? Commander Reyes just reported the anomaly.,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00153,Boost cooling in Quetzal — Nakamura reports the lab temperature is creeping up and needs immediate adjustment.,"control_system(module='quetzal',system='cooling',action='increase')"
Q-00154,Check Colibrí's communication system status—Valdivia reported intermittent signal drops during the last pass.,"get_module_status(module='colibri',system='communications')"
Q-00155,Lower the cooling settings in Vicuña—temperature is approaching the upper limit.,"control_system(module='vicuna',system='cooling',action='decrease')"
Q-00156,We’ve got a rapid pressure drop in Jaguar—sensors just hit 80.5 kPa and still falling. Commander Reyes is reporting possible hull breach signs. Do we escalate this immediately?,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')"
Q-00157,Check the current health status of the crew member in Colibrí.,"get_crew_status(module='colibri',info='health')"
Q-00158,Kozlov just reported fuel reserves are lower than expected in Vicuña—can we expedite a resupply for the next available window?,"request_supply(category='fuel',urgency='expedited')"
Q-00159,Cóndor's power bus is showing voltage fluctuations with a reading of 99.5 V—should we escalate this to command?,"send_alert(module='condor',severity='medium',reason='power_fluctuation')"
Q-00160,Notify Specialist Nakamura immediately—Quetzal's latest experiment data shows unexpected anomalies that need urgent review.,"send_message(recipient='specialist_1',priority='urgent')"
Q-00162,Oxygen readings in Colibrí have dropped to 15.7% and are still falling. What’s the emergency procedure for this scenario?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00163,Airlock equalization rate in Vicuña is now at 0.6 kPa per minute and rising—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00165,I need to log an alert — oxygen sensors in Quetzal are showing 15.4% concentration.,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Q-00166,Where are Nakamura and Al-Hassan right now—still in Quetzal or have they moved to another module?,"get_crew_status(module='quetzal',info='location')"
Q-00167,"Ana, we've got an urgent course correction needed—prep for immediate maneuver and confirm readiness.","send_message(recipient='pilot',priority='high')"
Q-00168,Schedule urgent system calibration for Vicuña module—this needs priority attention before the next cargo transfer.,"schedule_maintenance(module='vicuna',task='system_calibration',priority='urgent')"
Q-00169,Can we get the trajectory calculations for the planned docking maneuver at 408 km LEO?,"calculate_trajectory(maneuver='docking',urgency='planned')"
Q-00170,Cóndor pressure sensors just dropped to 79.5 kPa—what emergency procedure do we need to activate here?,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00171,Get the Vicuña module updated immediately—schedule a software update with high priority.,"schedule_maintenance(module='vicuna',task='software_update',priority='urgent')"
Q-00172,Tucán temperature sensors showing a rapid rise of 3.7 degrees per minute—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00173,Check the inventory for scientific supplies in Vicuña and submit a routine restock request if needed before the next resupply window.,"request_supply(category='scientific',urgency='routine')"
Q-00174,What is the current activity status of the crew in Vicuña module?,"get_crew_status(module='vicuna',info='current_activity')"
Q-00176,We’re getting reports from Vicuña of CO₂ concentration climbing to 1.7% and crew reporting headaches—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00177,Generate the planned reentry trajectory for Kuntur Station from its current 408 km LEO orbit.,"calculate_trajectory(maneuver='reentry',urgency='planned')"
Q-00178,Tucán pressure sensors just hit 73.3 kPa and still dropping—what emergency response should we initiate? Commander Reyes reports possible hull breach sound.,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00179,"We’ve got a rapid pressure drop in Quetzal, currently reading 71.4 kPa—what emergency procedure should we initiate for this scenario?","activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00180,Tucán’s air filtration is running too high—bring it down to normal levels now.,"control_system(module='tucan',system='filtration',action='decrease')"
Q-00181,Fatima just reported headaches in Vicuña—CO2 concentration is reading 2.5% and climbing. Should we flag this to Commander Reyes immediately?,"send_alert(module='vicuna',severity='high',reason='oxygen_leak')"
Q-00182,Cóndor's temperature is rising at 2.4 degrees per minute—what emergency procedure should we follow?,"send_alert(module='condor',severity='critical',reason='abnormal_temperature')"
Q-00183,Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.5% and still dropping. What emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00184,Tucán radiation sensors are reading 3.8 mSv/hr and rising—what emergency response should we initiate? Commander Reyes reports solar activity may be increasing.,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00185,Give me the pressure readings from Cóndor for the last six hours—need to cross-check with the commander’s report.,"get_telemetry(module='condor',metric='pressure',timeframe_hours=6)"
Q-00186,We’ve got a pressure anomaly in Jaguar—sensors just hit 85.1 kPa and it’s still trending down. What’s the emergency procedure for this?,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-00187,Pull the last 24 hours of power telemetry from Jaguar for the shift review.,"get_telemetry(module='jaguar',metric='power',timeframe_hours=24)"
Q-00188,Check Colibrí's power status—Valdivia mentioned comms are down and we need to confirm it’s stable.,"get_module_status(module='colibri',system='power')"
Q-00189,Tucán hull stress sensors are reading 91.6%—Kai Nakamura reports possible micrometeorite impact. What emergency procedure should we initiate?,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00190,"We need an immediate reentry trajectory calculation—current altitude is 408 km, and we're preparing for emergency descent. Get the numbers now.","calculate_trajectory(maneuver='reentry',urgency='immediate')"
Q-00191,Kozlov just reported an unexpected pressure fluctuation in Jaguar — get this flagged to engineering immediately.,"send_message(recipient='engineer',priority='high')"
Q-00193,Tucán oxygen concentration has dropped to 11.4% — Engineer Kozlov reports crew is experiencing dizziness. What emergency steps should we take?,"send_alert(module='tucan',severity='critical',reason='oxygen_leak')"
Q-00194,Give me the current status of life support systems in Quetzal.,"get_module_status(module='quetzal',system='life_support')"
Q-00195,Vicuña temperature sensors are showing a rapid rise of 3.5 degrees per minute—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00196,Can we get the commander's attention for a mid-priority update before the next shift change?,"send_message(recipient='commander',priority='medium')"
Q-00198,Jaguar power grid showing 98.2% consumption—this is approaching maximum capacity. Should we escalate this to command for immediate action?,"send_alert(module='jaguar',severity='critical',reason='power_fluctuation')"
Q-00200,Notify Commander Reyes that the latest cargo manifest update from Vicuña is ready for his review when he's available.,"send_message(recipient='commander',priority='low')"
Q-00201,We’ve got a pressure anomaly in Quetzal—readings are at 86.3 kPa and still declining. What emergency steps should we take for this situation?,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-00202,Cóndor module is showing CO2 concentration at 2.2% and climbing—crew reports headaches. Should we escalate this to command immediately?,"send_alert(module='condor',severity='high',reason='oxygen_leak')"
Q-00203,"Ana Valdivia just reported headaches, and CO2 sensors in Colibrí are now reading 2.4%—should we escalate this?","send_alert(module='colibri',severity='high',reason='oxygen_leak')"
